indic_ur,cities\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 
DE3001V,DE019C1	: 	: 	138221 	138359 	: 	: 	: 	: 	130700 e	130200 e	129600 e	124900 e	124500 e	123200 e	122300 e	: 	115000 e	: 	: 	119100 e	: 	: 	: 	: 	123000 e	: 	: 	: 	: 	126800 e	: 	: 
DE3001V,DE020C1	: 	: 	147039 	146761 	: 	: 	: 	: 	142300 e	141700 e	141100 e	137500 e	136800 e	135300 e	134800 e	134200 e	140000 e	: 	: 	137500 e	: 	: 	: 	: 	139000 e	: 	: 	: 	: 	127900 e	: 	: 
DE3001V,DE021C1	: 	: 	80554 	80118 	: 	: 	: 	: 	77200 e	74200 e	74500 e	64800 e	64400 e	63700 e	64100 e	63700 e	59400 e	: 	: 	61800 e	: 	: 	: 	: 	73800 e	: 	: 	: 	: 	73200 	: 	: 
DE3001V,DE022C1	: 	: 	: 	86105 	: 	: 	: 	: 	84800 e	83500 e	: 	86400 e	86400 e	85700 e	85400 e	84600 e	86900 e	: 	: 	85700 e	: 	: 	: 	: 	87000 e	: 	: 	: 	: 	86100 e	: 	: 
DE3001V,DE023C1	: 	: 	52206 	52108 	: 	: 	: 	: 	49500 e	50500 e	: 	50400 e	50300 e	49700 e	49200 e	48200 e	43100 e	: 	: 	46700 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,DE025C1	: 	: 	88990 	88781 	: 	: 	: 	: 	78700 e	75900 e	73100 e	76100 e	75200 e	74400 e	74100 e	73900 e	73500 e	: 	: 	72400 e	: 	: 	: 	: 	74000 e	: 	: 	: 	: 	70900 e	: 	: 
DE3001V,DE026C1	: 	: 	61478 	61800 	: 	: 	: 	: 	59800 e	58800 e	57700 e	51800 e	51900 e	51100 e	51100 e	51100 e	55300 e	: 	: 	53900 e	: 	: 	: 	: 	56000 e	: 	: 	: 	: 	51700 e	: 	: 
DE3001V,DE027C1	: 	: 	125466 	125211 	: 	: 	: 	: 	131200 e	128900 e	126500 e	106700 e	105300 e	104200 e	103300 e	100500 e	117200 e	: 	: 	112800 e	: 	: 	: 	: 	126000 e	: 	: 	: 	: 	113100 e	: 	: 
DE3001V,DE028C1	: 	: 	: 	92785 	: 	: 	: 	: 	83000 e	81100 e	79100 e	78600 e	78200 e	76800 e	76300 e	73900 e	74300 e	: 	: 	70700 e	: 	: 	: 	: 	77000 e	: 	: 	: 	: 	70900 e	: 	: 
DE3001V,DE029C1	: 	: 	31025 	31503 	: 	: 	: 	: 	32200 e	31400 e	: 	34500 e	35000 e	35200 e	: 	: 	34700 e	: 	: 	35000 e	: 	: 	: 	: 	36000 e	: 	: 	: 	: 	35500 e	: 	: 
DE3001V,DE030C1	: 	: 	33259 	32905 	: 	: 	: 	: 	34600 e	35600 e	36500 e	33400 e	33300 e	32900 e	32600 e	31800 e	32900 e	: 	: 	31400 e	: 	: 	: 	: 	28000 e	: 	: 	: 	: 	26500 e	: 	: 
DE3001V,DE031C1	: 	: 	: 	: 	: 	: 	: 	: 	52400 e	51600 e	50800 e	54700 e	54900 e	55300 e	55600 e	54800 e	53100 e	: 	: 	54300 e	: 	: 	: 	: 	47000 e	: 	: 	: 	: 	51500 e	: 	: 
DE3001V,DE032C1	: 	: 	: 	114996 	: 	: 	: 	: 	108300 e	108200 e	108100 e	109100 e	109400 e	109100 e	108000 e	106000 e	101900 e	: 	: 	97500 e	: 	: 	: 	: 	94000 e	: 	: 	: 	: 	97100 e	: 	: 
DE3001V,DE033C1	: 	: 	159703 	158042 	: 	: 	: 	: 	136200 e	: 	: 	138000 e	139000 e	138900 e	139600 e	138300 e	142000 e	: 	: 	137000 e	: 	: 	: 	: 	140000 e	: 	: 	: 	: 	126800 	: 	: 
DE3001V,DE034C1	: 	: 	: 	: 	: 	: 	: 	: 	170100 e	169500 e	168900 e	164700 e	163900 e	161400 e	159500 e	157300 e	159000 e	: 	: 	162100 e	: 	: 	: 	: 	159000 e	: 	: 	: 	: 	158800 	: 	: 
