indic_ur,cities\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
TE1001I,CZ014C1	: 	: 	: 	: 	: 	: 	: 	: 	306 	: 	283 	290 	292 	: 	: 	360 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,CZ015C1	: 	: 	: 	: 	: 	: 	: 	: 	344 	: 	364 	370 	376 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,CZ016C1	: 	: 	: 	: 	: 	: 	: 	: 	317 	: 	331 	327 	332 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,CZ017C1	: 	: 	: 	: 	: 	: 	: 	: 	343 	: 	330 	324 	323 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,CZ018C2	: 	: 	: 	: 	: 	: 	: 	: 	346 	: 	392 	391 	397 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,DE	: 	528 e	492 e	530 	536 	537 e	524 e	516 e	488 e	477 e	459 e	442 e	424 e	407 e	387 e	: 	: 	442 e	346 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,DE001C1	583 e	585 e	561 e	606 	610 	607 e	602 e	606 e	576 e	579 e	575 e	570 e	564 e	543 e	530 e	556 e	: 	: 	646 	: 	: 	: 	: 	580 	: 	: 	: 	667 	: 	: 
TE1001I,DE002C1	590 e	571 e	546 e	568 	581 	582 e	556 e	540 e	493 e	464 e	439 e	419 e	419 e	404 e	406 e	365 e	: 	: 	487 	: 	: 	: 	: 	355 	: 	: 	: 	208 	: 	: 
TE1001I,DE003C1	519 e	514 e	493 e	509 	511 	500 e	498 e	500 e	465 e	454 e	435 e	433 e	412 e	380 e	369 e	398 e	: 	: 	492 	: 	: 	: 	: 	389 	: 	: 	: 	333 	: 	: 
TE1001I,DE004C1	507 e	504 e	447 e	507 	510 	492 e	478 e	471 e	448 e	439 e	434 e	418 e	380 e	377 e	356 e	387 e	: 	: 	425 	: 	: 	: 	: 	403 	: 	: 	: 	301 	: 	: 
TE1001I,DE005C1	546 e	545 e	528 e	546 	536 	519 e	499 e	492 e	463 e	452 e	437 e	429 e	417 e	378 e	368 e	423 e	: 	: 	452 	: 	: 	: 	: 	442 	: 	: 	: 	354 	: 	: 
TE1001I,DE006C1	464 e	460 e	378 e	463 	486 	476 e	458 e	445 e	407 e	393 e	387 e	383 e	364 e	367 e	355 e	390 e	: 	: 	455 	: 	: 	: 	: 	381 	: 	: 	: 	308 	: 	: 
TE1001I,DE007C1	548 e	552 e	525 e	550 	545 	531 e	514 e	505 e	485 e	497 e	474 e	467 e	456 e	449 e	438 e	479 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,DE008C1	614 e	599 e	524 e	611 	610 	600 e	605 e	616 e	563 e	584 e	562 e	557 e	541 e	543 e	552 e	621 e	: 	: 	599 	: 	: 	: 	: 	672 	: 	: 	: 	756 	: 	: 
TE1001I,DE009C1	667 e	661 e	607 e	670 	670 	647 e	617 e	638 e	603 e	575 e	570 e	560 e	554 e	546 e	555 e	598 e	: 	: 	463 	: 	: 	: 	: 	666 	: 	: 	: 	981 	: 	: 
