indic_ur,cities\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
DE2001I,CH004C1	: 	: 	75 	74 	75 	75 	76 	76 	77 	77 b	78 	78 	79 	79 	79 	79 	79 	: 	: 	: 	78 	: 	: 	: 	81 	: 	: 	: 	: 	: 	83 
DE2001I,CH004K1	: 	: 	77 	77 	77 	78 	78 	79 	79 	80 b	80 	80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,CH005C1	: 	: 	57 	57 	57 	58 	58 	59 	59 	60 b	61 	61 	61 	62 	62 	62 	63 	: 	: 	: 	64 	: 	: 	: 	67 	: 	: 	: 	: 	: 	69 
DE2001I,CH005K1	: 	: 	59 	59 	59 	60 	60 	61 	61 	62 b	63 	63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,CH006C1	: 	: 	76 	76 	76 	: 	77 	77 	77 	77 b	77 	76 	76 	76 	77 	76 	76 	: 	: 	: 	76 	: 	: 	: 	: 	: 	: 	: 	: 	: 	79 
DE2001I,CH007C1	: 	: 	69 	69 	70 	70 	71 	71 	71 	72 b	72 	72 	73 	73 	73 	72 	72 	: 	: 	: 	73 	: 	: 	: 	: 	: 	: 	: 	: 	: 	77 
DE2001I,CH008C1	: 	: 	76 	75 	76 	76 	76 	76 	77 	76 b	76 	76 	76 	77 	77 	77 	76 	: 	: 	: 	77 	: 	: 	: 	: 	: 	: 	: 	: 	: 	81 
DE2001I,CH008K1	: 	: 	76 	76 	76 	77 	77 	77 	77 	77 b	77 	77 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,CH009C2	: 	: 	62 	61 	62 	62 	63 	63 	62 	62 b	62 	63 	63 	63 	64 	64 	64 	: 	: 	: 	64 	: 	: 	: 	: 	: 	: 	: 	: 	: 	66 
DE2001I,CH009K1	: 	: 	63 	62 	63 	62 	63 	63 	63 	63 b	63 	63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,CH010C1	: 	: 	: 	: 	: 	: 	70 	71 	71 	71 b	72 	72 	73 	73 	73 	73 	73 	: 	: 	: 	74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	78 
DE2001I,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	79 	: 	: 	: 	: 	: 	: 	88 	: 	89 	91 	: 	: 	: 	: 	: 	: 	: 	: 	96 	: 	: 
DE2001I,CY001C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	79 	: 	: 	: 	: 	: 	: 	87 	: 	: 	90 	: 	: 	: 	: 	93 	: 	: 	: 	95 	: 	: 
DE2001I,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	94 	96 	96 	96 	: u	: 	: 	: u	: 	: 	98 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,CZ001C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	87 	88 	88 	89 	89 	: 	: 	: 	: 	: 	97 	: 	: 	: 	: 	97 	: 	: 	: 	: 	98 	: 
DE2001I,CZ002C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	95 	94 	94 	95 	95 	: 	: 	: 	: 	: 	99 	: 	: 	: 	: 	98 	: 	: 	: 	: 	98 	: 
DE2001I,CZ003C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	95 	97 	97 	97 	97 	: 	: 	: 	: 	: 	99 	: 	: 	: 	: 	97 	: 	: 	: 	: 	95 	: 
